CR Number,Title,Severity,CR Type,CR Status,Created By,CR Assignee,Created On,Parent CR,Software Image Integration Build
4120425,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] enable QSS API for speaker Diarization ,Medium,Bug,Closed,mincyao,ruocxu,4/17/2025 4:15:01 AM,NA,LA.QXSI.16.0-06700-qssi.1-1
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,LA.QSSI.16.0-19700-qssi.1-1
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,NA
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,LA.QXSI.16.0-08200-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,LA.QSSI.16.0-19700-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,LA.QXSI.16.0-08200-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,NA
4123143,[Kaanapali.LA.1.0][eNPU ASUS] Meta528 adsp crash LPAIDSP:User Process crashed,Medium,Bug,Duplicate,haiyxiao,ayugupt,4/21/2025 1:39:34 AM,4133354,NA
4123856,[FR101966][Kaanapali][MMA]MMA model could not reset after clear Usecase app data while model enabled,High,Bug,Closed,jialinl,yongfeiz,4/21/2025 9:47:52 AM,NA,NA
4123856,[FR101966][Kaanapali][MMA]MMA model could not reset after clear Usecase app data while model enabled,High,Bug,Closed,jialinl,yongfeiz,4/21/2025 9:47:52 AM,NA,LA.QSSI.16.0-18100-qssi.1-1
4123856,[FR101966][Kaanapali][MMA]MMA model could not reset after clear Usecase app data while model enabled,High,Bug,Closed,jialinl,yongfeiz,4/21/2025 9:47:52 AM,NA,LA.QXSI.16.0-06900-qssi.1-1
4123948,[FR101966][Kaanapali][MMA]ASR logger mode did not work (100%),High,Bug,Duplicate,jialinl,ankmis,4/21/2025 10:43:18 AM,4111202,NA
4125220,[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] The beginning of TTS playback will have other content instead of starting from the text（1/6）,Medium,Bug,InProgress,mincyao,dunhye,4/22/2025 7:53:37 AM,NA,NA
4127652,[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] The Chinese TTS audio ended very suddenly on device,Medium,Bug,InProgress,haiyxiao,feisun,4/24/2025 2:37:50 AM,NA,NA
4127658,[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] Java heap memory leak during perf testing,Medium,Bug,InProgress,haiyxiao,feisun,4/24/2025 2:42:25 AM,NA,NA
4128314,[FR97187][Kaanapali][VoiceCallTranslation]RX service would get crash during tanslation stability test (1/50),Medium,Bug,Analysis,jialinl,feisun,4/24/2025 8:33:26 AM,NA,NA
4128334,[FR95041][Kaanapali][eNPU]ASR function would stop if turn off the screen while using continuous mode(100%),High,Bug,Duplicate,jialinl,phaniu,4/24/2025 8:41:56 AM,4133354,NA
4128340,[FR97187][Kaanapali][ConversationRecording]Conversation app would output repeating contents while ASR function working,High,Bug,Duplicate,jialinl,ankmis,4/24/2025 8:43:57 AM,4129334,NA
4129334,[Kaanapali.LA.1.0] eNPU ASR repeated output at partial buffer 10ms (100%),Medium,Bug,Analysis,haiyxiao,ankmis,4/25/2025 2:39:37 AM,NA,NA
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,NA
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,LPAIDSP.HT.1.2-00594.1-KAANAPALI-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,LPAIDSP.HT.1.5-00089-BALSAM-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,MPSS.CY.2.0-00258-KUNO_GEN_TEST-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,MPSS.KI.0.1-01312.2-SARISKA_RUMIDIAGUARTPICTORRFCONV_TEST-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,MPSS.KI.1.0-00829.5-SARISKA_MNRMTEFSKILIVP_TEST-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,CDSP.HT.3.2-00525.1-KAANAPALI-1
4133354,[FR101966][Kaanapali][MMA]Device would get crash after logger mode function enabled(100%),High,Bug,InProgress,jialinl,pbarman,4/29/2025 9:11:37 AM,NA,MPSS.DE.9.0.r99-00319-SARISKA_MNRMTEFSPICTORPHY_TEST-1
4138700,[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] TTS sample app crash after quick click start/stop SPK,Medium,Bug,InProgress,mincyao,feisun,5/6/2025 2:52:01 AM,NA,NA
4140252,[FR103072][Kaanapali][TTS]TTS playback would fail during double-click button stability test,Medium,Bug,InProgress,jialinl,feisun,5/7/2025 4:01:18 AM,NA,NA
4141859,"[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] Text Input Chinese, Language set English, TTS playback with ""UNK""",Medium,Bug,InProgress,mincyao,dunhye,5/8/2025 4:21:59 AM,NA,NA
4141864,[FR103072][QPM][TTS][1.0.0.0][Kaanpali][LA] the Chinese model TTS are miss the last two characters during playback,Medium,Bug,InProgress,mincyao,dunhye,5/8/2025 4:24:23 AM,NA,NA
4142055,[Kaanapali][VoiceAIDspASRRef][Zipformer] Missing all or part of the transcription during KPI testing,Medium,Bug,Duplicate,haiyxiao,ayugupt,5/8/2025 6:12:27 AM,4131039,NA
4142096,[FR103075][Kaanapali] Speaker diarization buffering mode no speaker label,Medium,Bug,InProgress,haiyxiao,jinzhang,5/8/2025 6:28:54 AM,NA,LA.QISI.16.0-00100-qssi.1-1
4142096,[FR103075][Kaanapali] Speaker diarization buffering mode no speaker label,Medium,Bug,InProgress,haiyxiao,jinzhang,5/8/2025 6:28:54 AM,NA,LA.QSSI.16.0-21800-qssi.1-1
4142096,[FR103075][Kaanapali] Speaker diarization buffering mode no speaker label,Medium,Bug,InProgress,haiyxiao,jinzhang,5/8/2025 6:28:54 AM,NA,NA
4142096,[FR103075][Kaanapali] Speaker diarization buffering mode no speaker label,Medium,Bug,InProgress,haiyxiao,jinzhang,5/8/2025 6:28:54 AM,NA,LA.QXSI.16.0-10500-qssi.1-1
4143525,[Kaanapali.LA.1.0][ASR][FR95041] no EC reference for bargein usecase,Medium,Bug,InProgress,haiyxiao,ankmis,5/9/2025 6:16:25 AM,NA,NA
4143525,[Kaanapali.LA.1.0][ASR][FR95041] no EC reference for bargein usecase,Medium,Bug,InProgress,haiyxiao,ankmis,5/9/2025 6:16:25 AM,NA,AUDIO_HANDSET.LA.11.0-09000-pakala.1-1
4151218,[VoiceAI][FR103072][Kaanapali]:Text to Speech (TTS) w/ Open Voice 2.0,NA,Requirement,InProgress,mincyao,jinzhang,5/16/2025 2:58:45 AM,NA,NA
4151218,[VoiceAI][FR103072][Kaanapali]:Text to Speech (TTS) w/ Open Voice 2.0,NA,Requirement,InProgress,mincyao,jinzhang,5/16/2025 2:58:45 AM,NA,LA.QSSI.17.0-09104-qssi.1-2
4151218,[VoiceAI][FR103072][Kaanapali]:Text to Speech (TTS) w/ Open Voice 2.0,NA,Requirement,InProgress,mincyao,jinzhang,5/16/2025 2:58:45 AM,NA,LA.QISI.16.0-01000-qssi.1-1
4151218,[VoiceAI][FR103072][Kaanapali]:Text to Speech (TTS) w/ Open Voice 2.0,NA,Requirement,InProgress,mincyao,jinzhang,5/16/2025 2:58:45 AM,NA,LA.QSSI.16.0-22400-qssi.1-1
4151218,[VoiceAI][FR103072][Kaanapali]:Text to Speech (TTS) w/ Open Voice 2.0,NA,Requirement,InProgress,mincyao,jinzhang,5/16/2025 2:58:45 AM,NA,LA.QXSI.16.0-10500-qssi.1-1
4151892,[FR103071][Kaanapali.LA.1.0][SDZ] No ASR and speaker ID during bargein mode,Medium,Bug,Duplicate,haiyxiao,laksrao,5/16/2025 9:21:54 AM,4143525,NA
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,LPAIDSP.HT.1.5.c1-00096-BALSAM-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,MPSS.DE.9.0.r99-00372-PAKALA_GEN_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,MPSS.KI.1.0-00896-AMBOSELI_RUMIDIAGUARTPHY_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,NA
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,LPAIDSP.HT.1.2-00628-KAANAPALI_PKG_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,LPAIDSP.HT.1.5-00117-BALSAM-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,MPSS.CYSP.1.0-00022-AMBOSELI_RUMIDIAGUARTALIOTHPHY_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,CDSP.HT.3.2-00557-KAANAPALI_PKG_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,MPSS.CY.2.0-00274-KUNO_GENAUTO_TEST-1
4154404,[Kaanapali.LA.1.0][FR103071][SDZ][Zipformer] No speaker label with Zipformer ASR ,Medium,Bug,InProgress,haiyxiao,ayugupt,5/20/2025 1:48:52 AM,NA,MPSS.KI.0.1-01378-KAANAPALI_GENLTERFCONVPICTOR_TEST-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.1-01189-PAKALA-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.3-00357-GLYMUR-2
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,MPSS.KI.1.0-01091-AMBOSELI_RUMIDIAGUARTALIOTHPHY_TEST-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,NA
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,ADSP.VT.5.2.c7-00029-SM6150-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,AUDIOREACH_WIN.SDK.0.0-00016-Debug-3
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,CDSP.HT.3.2-00641-KAANAPALI-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,CDSP.HT.3.6-00047-HAWI-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,LPAIDSP.HT.1.6-00063-HAWI-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,MPSS.CYSP.1.0-00036-AMBOSELI_CORE_TEST-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,ADSP.HT.5.5.c10-00037-KODIAK-1
4158155,[Kaanapali][VoiceAIDspASRRef][Zipformer] Lost all or part of the transcription during KPI testing,Medium,Bug,InProgress,haiyxiao,vthullim,5/22/2025 7:48:49 AM,NA,AUDIOREACH_SPF.SDK.0.0-00084-AR_SDK-1
